date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1951-01-10,0.5730846997157122,0.874,0.0,Calibration
1951-01-11,0.5088205142832607,0.857,0.0,Calibration
1951-01-12,0.4889626938606761,0.84,0.0,Calibration
1951-01-13,0.47030202177878827,0.823,0.0,Calibration
1951-01-14,8.758616494191687,0.841,11.0,Calibration
1951-01-15,1.4649903140835319,0.824,0.0,Calibration
1951-01-16,0.6950358418628823,0.811,1.0,Calibration
1951-01-17,0.48023055147232385,0.795,0.0,Calibration
1951-01-18,0.4329001993364575,0.779,0.0,Calibration
1951-01-19,0.4131897228066663,0.764,0.0,Calibration
1951-01-20,0.8352869218479636,0.753,1.6,Calibration
1951-01-21,1.4987028345393598,0.743,2.0,Calibration
1951-01-22,11.769583118847988,0.763,14.0,Calibration
1951-01-23,1.780169133710526,0.747,0.0,Calibration
1951-01-24,1.0676679331678611,0.739,1.8,Calibration
1951-01-25,2.5015431879715537,0.733,3.0,Calibration
1951-01-26,10.726874802216603,0.76,13.0,Calibration
1951-01-27,1.6923691576447843,0.745,0.0,Calibration
1951-01-28,1.028144008710853,0.737,1.7,Calibration
1951-01-29,1.3789136343177086,0.729,1.8,Calibration
1951-01-30,0.5984279881574913,0.714,0.0,Calibration
1951-01-31,0.4789560658641259,0.7,0.0,Calibration
1951-02-01,0.6081936289642931,0.689,1.0,Calibration
1951-02-02,5.355594738687217,0.694,6.6,Calibration
1951-02-03,1.699056596192718,0.687,2.0,Calibration
1951-02-04,1.0550815207788862,0.677,1.2,Calibration
1951-02-05,13.785180514707701,0.712,16.3,Calibration
1951-02-06,6.5498910084947495,0.726,6.5,Calibration
1951-02-07,9.516269484045237,0.763,11.1,Calibration
1951-02-08,3.0127027663644608,0.764,3.0,Calibration
1951-02-09,0.8450475704640209,0.749,0.0,Calibration
1951-02-10,19.122826950626205,3.127,22.9,Calibration
1951-02-11,3.0359688017563533,0.79,1.2,Calibration
1951-02-12,1.5717061348794332,0.786,1.8,Calibration
1951-02-13,33.421832361630734,9.466,38.69,Calibration
1951-02-14,6.972005291722967,0.856,4.0,Calibration
1951-02-15,38.2238032736148,17.791,44.0,Calibration
1951-02-16,5.239965644666572,0.886,0.0,Calibration
1951-02-17,1.136841084577753,0.868,0.0,Calibration
1951-02-18,1.0555057746293517,0.865,1.5,Calibration
1951-02-19,0.7589804135432338,0.848,0.0,Calibration
1951-02-20,0.6988617812295372,0.831,0.0,Calibration
1951-02-21,0.6716900437301648,0.815,0.0,Calibration
1951-02-22,0.644947972974608,0.798,0.0,Calibration
1951-02-23,0.6164803972408114,0.782,0.0,Calibration
1951-02-24,0.5869293098971399,0.767,0.0,Calibration
1951-02-25,0.5569693055742672,0.751,0.0,Calibration
1951-02-26,0.5271174648123821,0.736,0.0,Calibration
1951-02-27,0.4977544704221327,0.722,0.0,Calibration
1951-02-28,1.7947681066943475,0.72,2.8,Calibration
1951-03-01,0.6285487323016002,0.706,0.0,Calibration
1951-03-02,0.45534202044425875,0.706,0.0,Calibration
1951-03-03,23.896465323129778,3.613,28.5,Calibration
1951-03-04,13.96006370989549,2.43,13.8,Calibration
1951-03-05,2.012749467653312,0.789,0.0,Calibration
1951-03-06,0.6025951308037484,0.774,0.0,Calibration
1951-03-07,0.46899263408323766,0.758,0.0,Calibration
